Date,City,State,AQI,AQI_Category,PM2.5,PM10,NO2,SO2,CO,O3,NH3,Max_Temperature_C,Min_Temperature_C,Avg_Temperature_C,Humidity_Percent,Rainfall_mm,Wind_Speed_kmh,Wind_Direction,Atmospheric_Pressure_hPa,Visibility_km,Month,Season
2015-01-01,Delhi,Delhi,282,Poor,121,180,86,63,5.75,97,42,3.1,-6.0,-1.5,76.4,0.0,11.1,N,1010.55,14.9,1,Winter
2015-01-02,Delhi,Delhi,210,Poor,85,139,59,45,4.1,83,32,2.7,-8.8,-3.1,48.9,0.0,9.2,S,1015.14,14.5,1,Winter
2015-01-03,Delhi,Delhi,257,Poor,107,168,72,59,5.54,83,47,4.0,-4.5,-0.3,53.7,0.0,7.1,NE,1017.66,14.2,1,Winter
2015-01-04,Delhi,Delhi,193,Moderate,88,126,48,36,3.58,81,28,6.1,-7.3,-0.6,76.7,0.0,10.4,NW,1009.99,15.0,1,Winter
2015-01-05,Delhi,Delhi,274,Poor,124,145,83,53,4.85,110,38,11.8,-3.1,4.4,66.1,0.0,12.8,NE,1016.24,15.0,1,Winter
2015-01-06,Delhi,Delhi,345,Very Poor,142,202,110,72,6.95,121,52,8.2,-0.0,4.1,76.3,0.0,8.7,S,1016.36,14.1,1,Winter
2015-01-07,Delhi,Delhi,271,Poor,113,140,74,50,5.39,75,39,9.8,-3.2,3.3,74.9,0.0,4.4,SW,1026.82,12.7,1,Winter
2015-01-08,Delhi,Delhi,252,Poor,105,165,74,46,5.11,94,25,9.0,-0.3,4.4,73.3,0.0,4.9,NE,998.45,13.7,1,Winter
2015-01-09,Delhi,Delhi,217,Poor,103,124,68,40,3.85,95,22,3.5,-10.2,-3.3,73.8,0.0,8.5,NE,1007.64,13.4,1,Winter
2015-01-10,Delhi,Delhi,239,Poor,102,131,67,37,4.67,99,38,5.8,-7.8,-1.0,77.3,0.0,10.4,N,1028.03,13.6,1,Winter
2015-01-11,Delhi,Delhi,197,Moderate,69,129,57,39,4.59,69,29,10.1,-0.1,5.0,63.8,0.0,10.5,N,1008.94,13.4,1,Winter
2015-01-12,Delhi,Delhi,196,Moderate,77,117,48,34,3.18,64,25,11.1,0.4,5.8,80.3,0.0,9.4,SE,994.85,11.4,1,Winter
2015-01-13,Delhi,Delhi,205,Poor,87,133,76,38,4.75,79,27,0.8,-8.2,-3.7,75.8,0.0,7.1,SE,1005.17,12.7,1,Winter
2015-01-14,Delhi,Delhi,201,Poor,77,116,62,39,4.09,70,28,7.4,-7.5,-0.0,71.8,0.0,6.7,E,1017.44,15.0,1,Winter
2015-01-15,Delhi,Delhi,256,Poor,103,159,92,54,5.7,86,34,8.6,-4.5,2.0,54.6,0.0,8.1,NE,1005.1,12.5,1,Winter
2015-01-16,Delhi,Delhi,260,Poor,113,152,69,46,5.63,70,34,7.5,-4.7,1.4,50.5,0.0,2.1,SE,997.42,11.8,1,Winter
2015-01-17,Delhi,Delhi,214,Poor,71,161,68,47,4.48,87,30,14.1,3.0,8.6,59.4,0.0,5.8,NE,1012.0,11.6,1,Winter
2015-01-18,Delhi,Delhi,196,Moderate,72,132,65,42,3.99,63,25,8.4,-2.9,2.7,66.3,0.0,11.1,SW,1011.39,12.0,1,Winter
2015-01-19,Delhi,Delhi,215,Poor,81,133,43,41,5.11,84,28,5.9,-7.5,-0.8,61.9,0.0,0.1,W,993.08,11.5,1,Winter
2015-01-20,Delhi,Delhi,274,Poor,104,159,73,59,6.18,82,45,7.7,-0.8,3.5,75.0,0.0,7.8,S,1014.05,14.5,1,Winter
2015-01-21,Delhi,Delhi,183,Moderate,80,119,54,38,3.62,54,30,10.1,-1.9,4.1,55.1,0.0,5.2,N,994.67,15.0,1,Winter
2015-01-22,Delhi,Delhi,289,Poor,125,168,83,57,5.11,92,43,7.8,-4.4,1.7,60.2,0.0,6.9,SW,1012.73,13.3,1,Winter
2015-01-23,Delhi,Delhi,191,Moderate,95,132,51,32,3.83,71,26,11.2,-2.6,4.3,65.9,0.0,5.3,N,990.48,9.0,1,Winter
2015-01-24,Delhi,Delhi,250,Poor,100,144,74,48,5.2,76,38,8.1,-4.4,1.9,62.0,0.0,8.9,N,1018.04,14.8,1,Winter
2015-01-25,Delhi,Delhi,226,Poor,76,135,53,39,4.14,71,31,9.4,-3.5,3.0,61.1,0.0,5.3,SE,1026.27,10.1,1,Winter
2015-01-26,Delhi,Delhi,205,Poor,80,108,69,46,4.03,88,30,7.6,-1.4,3.1,67.4,1.76,6.7,SW,1012.75,15.0,1,Winter
2015-01-27,Delhi,Delhi,286,Poor,100,167,88,58,5.49,76,40,10.3,-1.4,4.5,63.1,0.0,13.3,E,988.33,12.3,1,Winter
2015-01-28,Delhi,Delhi,206,Poor,65,138,64,46,4.31,57,30,5.6,-8.7,-1.5,67.6,0.0,4.2,S,1021.51,15.0,1,Winter
2015-01-29,Delhi,Delhi,171,Moderate,79,67,61,40,2.7,64,31,10.1,-2.0,4.1,63.8,0.0,5.5,S,1009.33,5.9,1,Winter
2015-01-30,Delhi,Delhi,137,Moderate,79,96,53,24,3.45,21,24,6.9,-1.7,2.6,70.3,0.0,6.9,W,1021.54,12.8,1,Winter
2015-01-31,Delhi,Delhi,248,Poor,106,175,70,48,4.35,107,38,10.6,-3.4,3.6,63.0,0.0,14.2,E,1001.82,12.6,1,Winter
2015-02-01,Delhi,Delhi,227,Poor,106,128,71,45,5.21,82,29,5.1,-9.3,-2.1,76.6,0.0,11.2,NW,1016.53,13.6,2,Winter
2015-02-02,Delhi,Delhi,169,Moderate,56,105,54,42,3.01,42,30,8.0,-1.0,3.5,63.1,0.0,2.8,S,1012.57,15.0,2,Winter
2015-02-03,Delhi,Delhi,301,Very Poor,106,158,87,49,6.47,115,48,6.0,-6.8,-0.4,66.1,0.0,7.9,W,1019.17,14.1,2,Winter
2015-02-04,Delhi,Delhi,207,Poor,81,140,69,40,3.82,98,21,13.4,-1.0,6.2,61.8,0.0,6.8,S,1024.33,10.4,2,Winter
2015-02-05,Delhi,Delhi,240,Poor,90,125,65,53,4.56,98,25,8.5,-3.7,2.4,72.0,0.0,8.6,SE,1009.93,15.0,2,Winter
2015-02-06,Delhi,Delhi,250,Poor,113,157,76,60,4.2,86,34,10.0,1.8,5.9,49.3,0.0,8.2,NE,997.96,15.0,2,Winter
2015-02-07,Delhi,Delhi,140,Moderate,54,90,39,27,2.51,51,26,17.4,5.1,11.2,71.6,0.0,8.6,E,1029.06,7.4,2,Winter
2015-02-08,Delhi,Delhi,241,Poor,92,133,79,50,5.12,65,35,13.5,4.5,9.0,77.7,0.0,3.3,NE,1009.64,12.0,2,Winter
2015-02-09,Delhi,Delhi,207,Poor,103,140,56,33,4.41,68,38,10.1,-4.7,2.7,63.1,0.0,5.9,NW,1009.33,11.8,2,Winter
2015-02-10,Delhi,Delhi,274,Poor,100,147,84,57,5.79,94,41,7.3,-7.6,-0.2,65.2,0.0,11.0,NW,1017.03,12.9,2,Winter
2015-02-11,Delhi,Delhi,217,Poor,90,159,68,49,3.97,74,33,10.7,1.9,6.3,85.1,0.0,7.7,E,1003.06,15.0,2,Winter
2015-02-12,Delhi,Delhi,238,Poor,94,134,64,46,5.23,61,40,10.3,-3.7,3.3,66.3,0.0,4.6,NE,1032.96,12.5,2,Winter
2015-02-13,Delhi,Delhi,236,Poor,97,148,61,58,4.32,85,34,10.0,1.4,5.7,61.4,0.0,7.7,W,1014.91,12.7,2,Winter
2015-02-14,Delhi,Delhi,151,Moderate,47,88,46,28,3.35,37,17,11.5,-3.4,4.0,64.2,0.0,12.0,SE,1009.53,11.7,2,Winter
2015-02-15,Delhi,Delhi,128,Moderate,49,77,38,29,2.28,42,26,23.0,10.8,16.9,67.3,0.0,10.8,S,1014.15,10.7,2,Winter
2015-02-16,Delhi,Delhi,241,Poor,111,143,62,41,4.71,99,32,13.6,-0.1,6.7,70.2,0.0,11.9,NE,1011.86,7.4,2,Winter
2015-02-17,Delhi,Delhi,241,Poor,114,144,73,40,3.51,97,41,11.2,0.3,5.7,61.7,0.0,8.4,SE,1010.79,10.7,2,Winter
2015-02-18,Delhi,Delhi,248,Poor,102,147,62,64,4.2,87,34,12.9,3.6,8.3,69.7,5.28,5.6,NW,1024.26,15.0,2,Winter
2015-02-19,Delhi,Delhi,270,Poor,105,137,103,51,5.61,95,37,19.0,6.4,12.7,69.1,0.0,10.6,SW,999.8,11.6,2,Winter
2015-02-20,Delhi,Delhi,259,Poor,88,149,76,56,4.75,101,32,15.9,3.5,9.7,60.8,0.0,8.2,NW,1000.12,10.5,2,Winter
2015-02-21,Delhi,Delhi,129,Moderate,47,71,34,23,3.17,48,26,19.3,11.1,15.2,66.3,0.0,12.2,W,1015.61,11.6,2,Winter
2015-02-22,Delhi,Delhi,288,Poor,99,152,93,58,5.72,99,52,19.0,6.8,12.9,63.1,0.0,7.5,S,1015.13,10.8,2,Winter
2015-02-23,Delhi,Delhi,200,Moderate,88,99,69,40,4.06,68,29,20.1,7.1,13.6,71.4,0.0,9.4,E,1014.02,11.1,2,Winter
2015-02-24,Delhi,Delhi,242,Poor,96,135,76,48,4.12,71,47,19.8,10.5,15.2,60.0,0.0,2.2,S,1027.77,6.5,2,Winter
